Datetime,String,String,String,String,Datetime,Datetime
29Dec2019,Y4 000638 ,BJX,CUN,XAVRB,29Dec2019 19:38,29Dec2019 22:07
29Dec2019,Y4 000639 ,CUN,BJX,XAVRB,29Dec2019 22:47,30Dec2019 01:27
29Dec2019,Y4 000640 ,BJX,CUN,N533VL,29Dec2019 11:50,29Dec2019 14:19
29Dec2019,Y4 000641 ,CUN,BJX,XAVOZ,29Dec2019 02:33,29Dec2019 05:13
29Dec2019,Y4 000646 ,GDL,MTY,XAVOY,29Dec2019 19:43,29Dec2019 21:16
29Dec2019,Y4 000647 ,MTY,GDL,XAVOY,29Dec2019 22:03,29Dec2019 23:34
29Dec2019,Y4 000668 ,ZIH,ORD,XAVLF,29Dec2019 19:49,30Dec2019 00:31
29Dec2019,Y4 000669 ,ORD,ZIH,XAVLF,29Dec2019 14:11,29Dec2019 18:59
29Dec2019,Y4 000670 ,GDL,CUL,XAVLJ,29Dec2019 03:11,29Dec2019 04:37
29Dec2019,Y4 000671 ,CUL,GDL,XAVLJ,29Dec2019 01:05,29Dec2019 02:31
29Dec2019,Y4 000674 ,GDL,MTY,XAVLW,29Dec2019 02:18,29Dec2019 03:51
29Dec2019,Y4 000675 ,MTY,GDL,N517VL,29Dec2019 14:04,29Dec2019 15:35
29Dec2019,Y4 000676 ,GDL,MTY,N517VL,29Dec2019 11:58,29Dec2019 13:31
29Dec2019,Y4 000677 ,MTY,GDL,XAVLW,29Dec2019 12:25,29Dec2019 13:56
29Dec2019,Y4 000678 ,GDL,CUU,N505VL,29Dec2019 14:03,29Dec2019 15:56
29Dec2019,Y4 000679 ,CUU,GDL,N505VL,29Dec2019 16:26,29Dec2019 18:15
29Dec2019,Y4 000680 ,GDL,LAP,XAVLH,29Dec2019 18:55,29Dec2019 20:39
29Dec2019,Y4 000681 ,LAP,GDL,XAVLH,29Dec2019 21:19,29Dec2019 22:55
29Dec2019,Y4 000682 ,GDL,HMO,XAVLR,29Dec2019 00:30,29Dec2019 02:45
29Dec2019,Y4 000683 ,HMO,GDL,XAVLR,29Dec2019 03:25,29Dec2019 05:31
29Dec2019,Y4 000684 ,GDL,CEN,N531VL,29Dec2019 16:34,29Dec2019 18:31
29Dec2019,Y4 000685 ,CEN,GDL,N531VL,29Dec2019 19:02,29Dec2019 20:50
29Dec2019,Y4 000686 ,GDL,MID,XAVRH,29Dec2019 16:00,29Dec2019 18:22
29Dec2019,Y4 000687 ,MID,GDL,N531VL,29Dec2019 12:55,29Dec2019 15:30
29Dec2019,Y4 000688 ,GDL,TGZ,XAVLS,29Dec2019 20:03,29Dec2019 22:07
29Dec2019,Y4 000689 ,TGZ,GDL,XAVLS,29Dec2019 22:45,30Dec2019 00:51
29Dec2019,Y4 000690 ,GDL,CUL,XAVLZ,29Dec2019 13:12,29Dec2019 14:38
29Dec2019,Y4 000691 ,CUL,GDL,XAVLZ,29Dec2019 15:13,29Dec2019 16:39
29Dec2019,Y4 000696 ,MEX,BJX,N506VL,29Dec2019 13:25,29Dec2019 14:51
29Dec2019,Y4 000697 ,BJX,MEX,N509VL,29Dec2019 11:25,29Dec2019 12:50
29Dec2019,Y4 000700 ,MEX,CUN,XAVLU,29Dec2019 20:15,29Dec2019 22:33
29Dec2019,Y4 000701 ,CUN,MEX,N525VL,29Dec2019 17:40,29Dec2019 20:14
29Dec2019,Y4 000705 ,CUN,MEX,XAVLU,29Dec2019 23:18,30Dec2019 01:52
29Dec2019,Y4 000706 ,MEX,CUN,N542VL,29Dec2019 23:01,30Dec2019 01:19
29Dec2019,Y4 000707 ,CUN,MEX,XAVRC,29Dec2019 03:06,29Dec2019 05:40
29Dec2019,Y4 000709 ,CUN,MEX,N535VL,29Dec2019 15:29,29Dec2019 18:03
29Dec2019,Y4 000711 ,CUN,MEX,N537VL,29Dec2019 01:08,29Dec2019 03:42
29Dec2019,Y4 000712 ,MEX,CUN,N543VL,29Dec2019 17:51,29Dec2019 20:09
29Dec2019,Y4 000713 ,CUN,MEX,N543VL,29Dec2019 20:49,29Dec2019 23:23
29Dec2019,Y4 000714 ,MEX,CUN,N535VL,29Dec2019 12:31,29Dec2019 14:49
29Dec2019,Y4 000715 ,CUN,MEX,N521VL,29Dec2019 01:59,29Dec2019 04:33
29Dec2019,Y4 000716 ,MEX,CUN,N520VL,29Dec2019 14:45,29Dec2019 16:50
29Dec2019,Y4 000718 ,MEX,CUN,XAVLV,29Dec2019 22:10,30Dec2019 00:28
29Dec2019,Y4 000722 ,MEX,CUN,XAVRC,29Dec2019 00:08,29Dec2019 02:26
29Dec2019,Y4 000724 ,MEX,CUU,XAVRC,29Dec2019 11:40,29Dec2019 14:06
29Dec2019,Y4 000725 ,CUU,MEX,XAVRC,29Dec2019 14:41,29Dec2019 17:03
29Dec2019,Y4 000728 ,MEX,GDL,XAVLS,29Dec2019 01:54,29Dec2019 03:22
29Dec2019,Y4 000729 ,GDL,MEX,N529VL,29Dec2019 03:52,29Dec2019 05:23
29Dec2019,Y4 000730 ,MEX,GDL,N529VL,29Dec2019 00:41,29Dec2019 02:09
29Dec2019,Y4 000731 ,GDL,MEX,XAVRD,29Dec2019 12:14,29Dec2019 13:45
29Dec2019,Y4 000732 ,MEX,GDL,N517VL,29Dec2019 04:01,29Dec2019 05:29
29Dec2019,Y4 000733 ,GDL,MEX,XAVLE,29Dec2019 14:58,29Dec2019 16:29
29Dec2019,Y4 000737 ,GDL,MEX,N524VL,29Dec2019 15:53,29Dec2019 17:24
29Dec2019,Y4 000738 ,MEX,GDL,N509VL,29Dec2019 13:55,29Dec2019 15:23
29Dec2019,Y4 000740 ,GDL,HMO,XAVLS,29Dec2019 12:56,29Dec2019 15:11
29Dec2019,Y4 000741 ,HMO,GDL,XAVLS,29Dec2019 15:41,29Dec2019 17:47
29Dec2019,Y4 000742 ,MEX,GDL,N524VL,29Dec2019 22:08,29Dec2019 23:36
29Dec2019,Y4 000743 ,GDL,MEX,XAVLF,29Dec2019 02:49,29Dec2019 04:20
29Dec2019,Y4 000744 ,MEX,GDL,N524VL,29Dec2019 13:00,29Dec2019 14:28
29Dec2019,Y4 000745 ,GDL,MEX,XAVRA,29Dec2019 00:06,29Dec2019 01:37
29Dec2019,Y4 000746 ,GDL,SJD,XAVLT,29Dec2019 19:43,29Dec2019 21:20
29Dec2019,Y4 000747 ,SJD,GDL,XAVLT,29Dec2019 21:55,29Dec2019 23:26
29Dec2019,Y4 000750 ,MEX,MXL,XAVLU,29Dec2019 12:00,29Dec2019 15:37
29Dec2019,Y4 000751 ,MXL,MEX,N543VL,29Dec2019 06:52,29Dec2019 10:10
29Dec2019,Y4 000752 ,MEX,MXL,N543VL,29Dec2019 02:39,29Dec2019 06:16
29Dec2019,Y4 000753 ,MXL,MEX,XAVLU,29Dec2019 16:12,29Dec2019 19:30
29Dec2019,Y4 000754 ,MEX,MID,N511VL,29Dec2019 17:55,29Dec2019 19:50
29Dec2019,Y4 000756 ,MEX,MID,N543VL,29Dec2019 12:25,29Dec2019 14:20
29Dec2019,Y4 000757 ,MID,MEX,N511VL,29Dec2019 20:20,29Dec2019 22:31
29Dec2019,Y4 000759 ,MID,MEX,N543VL,29Dec2019 14:55,29Dec2019 17:06
29Dec2019,Y4 000760 ,MEX,HMO,N511VL,29Dec2019 11:15,29Dec2019 14:10
29Dec2019,Y4 000761 ,HMO,MEX,N511VL,29Dec2019 14:40,29Dec2019 17:20
29Dec2019,Y4 000762 ,MEX,HMO,XAVLL,29Dec2019 23:06,30Dec2019 02:01
29Dec2019,Y4 000763 ,HMO,MEX,N520VL,29Dec2019 02:31,29Dec2019 05:11
29Dec2019,Y4 000764 ,MEX,OAX,N539VL,29Dec2019 17:25,29Dec2019 18:35
29Dec2019,Y4 000765 ,OAX,MEX,N539VL,29Dec2019 19:05,29Dec2019 20:32
