Datetime,String,String,String,String,Datetime,Datetime,String,String,String,String,String
date_of_origin,flight_designator,departure_airport,arrival_airport,service_type,schedule_departure,schedule_arrival,aircraft_type,status_code,aircraft_owner,cockpit_employer,cabin_employer
29Dec2019,Y4 000470 ,TIJ,CUN,J,29Dec2019 09:47,29Dec2019 14:11,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000743 ,GDL,MEX,J,29Dec2019 02:49,29Dec2019 04:20,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000427 ,GDL,TIJ,J,29Dec2019 14:36,29Dec2019 17:49,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000422 ,TIJ,GDL,J,29Dec2019 17:39,29Dec2019 20:31,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000930 ,GDL,SJC,J,29Dec2019 14:04,29Dec2019 18:15,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000795 ,TGZ,MEX,J,29Dec2019 02:36,29Dec2019 04:31,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000678 ,GDL,CUU,J,29Dec2019 14:03,29Dec2019 15:56,32N,S,Y4,Y4,Y4
29Dec2019,Q6 004091 ,LAX,SAL,J,29Dec2019 08:38,29Dec2019 13:45,319,S,Q6,Q6,Q6
29Dec2019,Y4 000399 ,BJX,TIJ,J,29Dec2019 02:30,29Dec2019 05:47,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000964 ,MEX,SAT,J,29Dec2019 17:22,29Dec2019 19:36,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000431 ,GDL,TIJ,J,29Dec2019 04:20,29Dec2019 07:33,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000705 ,CUN,MEX,J,29Dec2019 23:18,30Dec2019 01:52,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000700 ,MEX,CUN,J,29Dec2019 20:15,29Dec2019 22:33,21A,S,Y4,Y4,Y4
29Dec2019,Q6 004054 ,SJO,CUN,J,29Dec2019 13:35,29Dec2019 16:04,319,S,Q6,Q6,Q6
29Dec2019,Y4 000432 ,TIJ,GDL,J,29Dec2019 10:58,29Dec2019 13:50,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000145 ,ACA,GDL,J,29Dec2019 18:04,29Dec2019 19:20,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000627 ,CJS,GDL,J,29Dec2019 15:01,29Dec2019 17:15,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000278 ,MEX,CJS,J,29Dec2019 16:30,29Dec2019 19:17,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005891 ,IAH,GDL,J,29Dec2019 16:21,29Dec2019 18:55,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000957 ,PDX,GDL,J,29Dec2019 22:05,30Dec2019 02:48,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000836 ,TIJ,ZCL,J,29Dec2019 00:25,29Dec2019 03:05,319,S,Y4,Y4,Y4
29Dec2019,Y4 000706 ,MEX,CUN,J,29Dec2019 23:01,30Dec2019 01:19,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000187 ,MTY,MEX,J,29Dec2019 23:25,30Dec2019 01:07,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000607 ,CUN,GDL,J,29Dec2019 16:16,29Dec2019 19:13,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000794 ,MEX,TGZ,J,29Dec2019 00:21,29Dec2019 02:06,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000402 ,TIJ,BJX,J,29Dec2019 16:03,29Dec2019 18:58,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000855 ,MIA,MEX,J,29Dec2019 19:00,29Dec2019 22:58,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000920 ,MLM,LAX,J,29Dec2019 01:49,29Dec2019 05:45,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000452 ,TIJ,SJD,J,29Dec2019 02:27,29Dec2019 04:37,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000919 ,LAX,GDL,J,29Dec2019 00:00,29Dec2019 03:13,320,S,Y4,Y4,Y4
29Dec2019,Y4 000950 ,GDL,FAT,J,29Dec2019 02:59,29Dec2019 06:55,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000822 ,TIJ,MEX,J,29Dec2019 04:30,29Dec2019 08:04,320,S,Y4,Y4,Y4
29Dec2019,Y4 000180 ,MEX,MTY,J,29Dec2019 12:55,29Dec2019 14:38,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000445 ,MLM,TIJ,J,29Dec2019 17:24,29Dec2019 20:50,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000428 ,TIJ,GDL,J,29Dec2019 08:50,29Dec2019 11:42,321,S,Y4,Y4,Y4
29Dec2019,Y4 000815 ,MEX,TIJ,J,29Dec2019 12:41,29Dec2019 16:35,32A,S,Y4,Y4,Y4
29Dec2019,Q6 004068 ,SJO,GUA,J,29Dec2019 19:54,29Dec2019 21:40,319,S,Q6,Q6,Q6
29Dec2019,Y4 000471 ,CUN,TIJ,J,29Dec2019 14:51,29Dec2019 20:07,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000764 ,MEX,OAX,J,29Dec2019 17:25,29Dec2019 18:35,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000634 ,GDL,CUN,J,29Dec2019 12:51,29Dec2019 15:39,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000685 ,CEN,GDL,J,29Dec2019 19:02,29Dec2019 20:50,320,S,Y4,Y4,Y4
29Dec2019,Y4 000730 ,MEX,GDL,J,29Dec2019 00:41,29Dec2019 02:09,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000751 ,MXL,MEX,J,29Dec2019 06:52,29Dec2019 10:10,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000490 ,TIJ,AGU,J,29Dec2019 08:55,29Dec2019 11:41,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000561 ,LMM,TIJ,J,29Dec2019 21:21,29Dec2019 23:22,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000842 ,TIJ,CLQ,J,29Dec2019 16:40,29Dec2019 19:40,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000912 ,GDL,LAX,J,29Dec2019 12:30,29Dec2019 16:12,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000691 ,CUL,GDL,J,29Dec2019 15:13,29Dec2019 16:39,321,S,Y4,Y4,Y4
