Mean	Median	StdDev	Max	Min	Entropy	Hamming
84916.0309523344	84916.0309523344	0.0000000000	84916.0309523344	84916.0309523344	0.0000000000	0.0000000000	
84916.0309523344	84916.0309523344	0.0000000000	84916.0309523344	84916.0309523344	0.0000000000	0.0000000000	
84916.0309523344	84916.0309523344	0.0000000000	84916.0309523344	84916.0309523344	0.0000000000	0.0000000000	
84915.8941358328	84915.8941358328	0.0000000000	84916.0309523344	84915.8941358328	0.0021404998	0.0000000000	
84915.8941358328	84915.8941358328	0.0000000000	84915.8941358328	84915.8941358328	0.0000000000	0.0000000000	
84915.8941358328	84915.8941358328	0.0000000000	84915.8941358328	84915.8941358328	0.0000000000	0.0000000000	
84915.2428537607	84915.2428537607	0.0000000000	84915.2428537607	84915.2428537607	0.0000000000	0.0000000000	
84915.2428537607	84915.2428537607	0.0000000000	84915.2428537607	84915.2428537607	0.0000000000	0.0000000000	
84915.0385409594	84915.0385409594	0.0000000000	84915.0385409594	84915.0385409594	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84915.0385409594	84912.7404302359	0.0009738721	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.7404302359	84912.7404302359	0.0000000000	84912.7404302359	84912.7404302359	0.0000000000	0.0000000000	
84912.5697761774	84912.5697761774	0.0000000000	84912.5697761774	84912.5697761774	0.0000000000	0.0000000000	
84911.1921876669	84911.1921876669	0.0000000000	84912.5697761774	84911.1921876669	0.0036121187	0.0000000000	
84911.1921876669	84911.1921876669	0.0000000000	84911.1921876669	84911.1921876669	0.0000000000	0.0000000000	
84910.8743935823	84910.8743935823	0.0000000000	84910.8743935823	84910.8743935823	0.0000000000	0.0000000000	
84910.8743935823	84910.8743935823	0.0000000000	84910.8743935823	84910.8743935823	0.0000000000	0.0000000000	
84910.8743935823	84910.8743935823	0.0000000000	84910.8743935823	84910.8743935823	0.0000000000	0.0000000000	
84909.6919804811	84909.6919804811	0.0000000000	84910.8743935823	84909.6919804811	0.0002039594	0.3200000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84909.6564382315	84909.6564382315	0.0000000000	84909.6564382315	84909.6564382315	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.9983323812	84907.9983323812	0.0000000000	84907.9983323812	84907.9983323812	0.0000000000	0.0000000000	
84907.8463762999	84907.8463762999	0.0000000000	84907.9983323812	84907.8463762999	0.0010614533	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.8463762999	84907.7000707388	0.0002360902	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
